id,wikidata_id,name,gender,birthdate,birthplace,latitude,longitude,pcs_id,weight_kg,height_m,total_wins,current_team,wikipedia_url,fetched_at
745,Q100930844,Adam Holm Jørgensen,mand,2002-09-01,Frederiksberg,55.6779,12.5327,242314,68.0,1.91,0,,https://nl.wikipedia.org/wiki/Adam_Holm_J%C3%B8rgensen,2026-04-06T15:50:19.976291+00:00
746,Q117751467,Agnes Bøg,kvinde,2000-01-28,Hareskovby,55.76,12.3997,298279,,,0,,https://da.wikipedia.org/wiki/Agnes_B%C3%B8g,2026-04-06T15:50:30.695093+00:00
747,Q16005784,Ahrensborg Clausen,mand,1895-06-20,Frederiksberg,55.6779,12.5327,246823,,,0,,https://pt.wikipedia.org/wiki/Georg_Claussen,2026-04-06T15:50:41.590500+00:00
748,Q57973850,Aksel Bech Skot-Hansen,mand,2000-06-11,Hjortshøj,56.2492,10.2656,210061,62.0,1.8,0,,"https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%BE%D1%82-%D0%A5%D0%B0%D0%BD%D1%81%D0%B5%D0%BD,_%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C_%D0%91%D0%B5%D0%BA",2026-04-06T15:50:52.204969+00:00
749,Q113630058,Aksel Storm,mand,2007-10-22,Roskilde,55.641666666,12.080833333,299365,,,0,,https://da.wikipedia.org/wiki/Aksel_Storm,2026-04-06T15:51:02.611764+00:00
750,Q108937498,Albert Holm,mand,2003-06-22,København,55.676111111,12.568888888,260792,,,0,,https://da.wikipedia.org/wiki/Albert_Holm,2026-04-06T15:51:13.472498+00:00
751,Q116200192,Albert Withen Philipsen,mand,2006-09-03,Holte,55.810939,12.473536,289886,,,0,,"https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D1%81%D0%B5%D0%BD,_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82_%D0%92%D0%B8%D1%82%D0%B5%D0%BD",2026-04-06T15:51:24.046485+00:00
752,Q111907132,Alberte Greve,kvinde,2005-09-16,Næstved,55.23333333,11.76666667,279551,,,0,,https://nl.wikipedia.org/wiki/Alberte_Greve,2026-04-06T15:51:34.460223+00:00
753,Q1557645,Alex Pedersen,mand,1966-11-15,Ikast,56.1356,9.1547,168875,,,0,,https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D9%83%D8%B3_%D8%A8%D9%8A%D8%AF%D8%B1%D8%B3%D9%86,2026-04-06T15:51:45.021526+00:00
754,Q462867,Alex Rasmussen,mand,1984-06-09,Svendborg,55.059722222,10.61,140226,88.0,1.86,0,,https://ar.wikipedia.org/wiki/%D8%A3%D9%84%D9%83%D8%B3_%D8%B1%D8%A7%D8%B3%D9%85%D9%88%D8%B3%D9%86,2026-04-06T15:51:55.615452+00:00
755,Q37583457,Alexander Andersen,mand,2000-02-25,,,,233002,,,0,,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%B5%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%AE%D0%BD%D0%B3",2026-04-06T15:52:06.028053+00:00
756,Q108855164,Alexander Arnt Hansen,mand,2003-05-13,Lynge,55.8397,12.2767,260765,68.0,1.87,0,,https://fr.wikipedia.org/wiki/Alexander_Arnt_Hansen,2026-04-06T15:52:16.591613+00:00
757,Q16525988,Alexander Kamp,mand,1993-12-14,Køge,55.45,12.183333333,132228,74.0,1.86,0,,"https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%BF,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D0%B5%D1%80",2026-04-06T15:52:27.147537+00:00
758,Q29344340,Alexander Salby,mand,1998-06-04,Aabenraa,55.0447,9.4195,196174,68.0,1.76,0,,https://nl.wikipedia.org/wiki/Alexander_Salby,2026-04-06T15:52:37.940054+00:00
759,Q112676043,Alfred Christensen,mand,2004-09-22,Frederiksberg,55.6779,12.5327,270157,,,0,,https://da.wikipedia.org/wiki/Alfred_Christensen_(cykelrytter),2026-04-06T15:52:48.536478+00:00
760,Q111544345,Alfred Grenaae,mand,2004-06-01,Støvring,56.889,9.831,270099,,,0,,https://da.wikipedia.org/wiki/Alfred_Grenaae,2026-04-06T15:52:59.046053+00:00
761,Q111835918,Alfred Kongstad,mand,2005-11-09,København,55.676111111,12.568888888,270096,75.0,1.9,0,,https://da.wikipedia.org/wiki/Alfred_Kongstad,2026-04-06T15:53:09.533517+00:00
